,end_station_name,end_station_longitude,end_station_latitude,ride_start_date
180,Henry St & Grand St,-73.981346,40.714215,92
181,Henry St & Poplar St,-73.991454,40.700469,20
182,Hicks St & Montague St,-73.99595065,40.69512845,54
183,Howard St & Centre St,-73.99973337,40.71910537,162
184,Hudson St & Reade St,-74.0091059,40.71625008,104
185,Jay St & Tech Pl,-73.987167,40.695065,16
186,John St & William St,-74.00722156,40.70862144,109
187,Johnson St & Gold St,-73.98362464,40.69474881,49
188,Joralemon St & Adams St,-73.98963911,40.69246277,83
189,Kent Ave & S 11 St,-73.96834101,40.70827295,21
190,LaGuardia Pl & W 3 St,-73.99810231,40.72917025,196
191,Lafayette Ave & Classon Ave,-73.96023854,40.68900443,32
192,Lafayette Ave & Fort Greene Pl,-73.976682,40.68691865,45
193,Lafayette Ave & St James Pl,-73.9647628,40.68851534,34
194,Lafayette St & E 8 St,-73.9907647,40.73028666,372
195,Lafayette St & Jersey St,-73.99565293,40.72456089,93
196,Laight St & Hudson St,-74.00771779,40.72185379,41
197,Lawrence St & Willoughby St,-73.98631746,40.69236178,230
198,Lefferts Pl & Franklin Ave,-73.9557689392,40.680342423,40
199,Lexington Ave & Classon Ave,-73.95928168,40.68676793,20
200,Lexington Ave & E 24 St,-73.98409214,40.74025878,251
201,Lexington Ave & E 26 St,-73.98320928,40.74147286,232
202,Liberty St & Broadway,-74.01043382,40.70905623,118
203,Lispenard St & Broadway,-74.00247214,40.71939226,97
204,Little West St & 1 Pl,-74.01677685,40.70569254,81
205,MacDougal St & Prince St,-74.00297088,40.72710258,239
206,MacDougal St & Washington Sq,-73.99852205,40.73226398,129
207,Macon St & Nostrand Ave,-73.9500479759,40.6809833854,15
208,Madison St & Clinton St,-73.98776323,40.71269042,66
209,Madison St & Montgomery St,-73.984844,40.713126,45
210,Maiden Ln & Pearl St,-74.00731853,40.70706456,118
211,Market St & Cherry St,-73.99400398,40.71076228,46
212,Mercer St & Bleecker St,-73.99695094,40.72679454,213
213,Mercer St & Spring St,-73.99949601,40.72362738,141
214,Metropolitan Ave & Bedford Ave,-73.96024116,40.71534825,74
215,Monroe St & Bedford Ave,-73.95380904,40.6851443,20
216,Monroe St & Classon Ave,-73.95881081,40.6845683,7
217,Montague St & Clinton St,-73.99215922,40.69424674,54
218,Mott St & Prince St,-73.99480012,40.72317958,216
219,Murray St & West St,-74.013012,40.7149787,114
220,Myrtle Ave & St Edwards St,-73.97703874,40.69327018,18
221,Nassau St & Navy St,-73.98068914,40.69839895,7
222,Norfolk St & Broome St,-73.98802084,40.7172274,99
223,Old Fulton St,-73.99383605,40.70277159,46
224,Old Slip & Front St,-74.00838676,40.7037992,64
225,Park Ave & St Edwards St,-73.97803415,40.69608941,10
226,Park Pl & Church St,-74.00937622,40.71336124,122
227,Pearl St & Anchorage Pl,-73.98765762,40.70281858,61
228,Pearl St & Hanover Square,-74.00926027,40.7047177,108
229,Perry St & Bleecker St,-74.00483091,40.73535398,117
230,Pershing Square N,-73.97770164,40.75188406,304
231,Pershing Square S,-73.97798848,40.75149263,149
232,Pike St & E Broadway,-73.99293911,40.71406667,60
233,Pike St & Monroe St,-73.99193043,40.71173107,52
234,Pitt St & Stanton St,-73.98178024,40.71926081,27
235,Railroad Ave & Kay Ave,-73.97100056,40.70531194,6
236,Reade St & Broadway,-74.00562789,40.71450451,79
237,Rivington St & Chrystie St,-73.9919254,40.72110063,103
238,Rivington St & Ridge St,-73.98329859,40.71850211,60
239,S 3 St & Bedford Ave,-73.96264403,40.71260486,25
240,S 4 St & Wythe Ave,-73.96590294,40.71285887,30
241,S 5 Pl & S 4 St,-73.960876,40.710451,81
242,S Portland Ave & Hanson Pl,-73.97431458,40.68539567,16
243,Sands St & Gold St,-73.98271933,40.69986937,19
244,Shevchenko Pl & E 6 St,-73.990214,40.728145,101
245,South End Ave & Liberty St,-74.015756,40.711512,161
246,South St & Gouverneur Ln,-74.00670227,40.70355377,116
247,South St & Whitehall St,-74.01234218,40.70122128,83
248,Spruce St & Nassau St,-74.00552427,40.71146364,86
249,St James Pl & Oliver St,-73.99851193,40.71307916,65
250,St James Pl & Pearl St,-74.00016545,40.71117416,50
251,St Marks Pl & 1 Ave,-73.98564945,40.72779126,147
252,St Marks Pl & 2 Ave,-73.98713956,40.7284186,199
253,Stanton St & Chrystie St,-73.99147535,40.72229346,136
254,Stanton St & Mangin St,-73.97628939,40.71782143,65
255,State St,-74.01427023,40.70251526,88
256,State St & Smith St,-73.98912867,40.68926942,105
257,Suffolk St & Stanton St,-73.98517977,40.72066442,172
258,Sullivan St & Washington Sq,-73.99906065,40.73047747,209
259,University Pl & E 14 St,-73.99200509,40.73492695,339
260,Vesey Pl & River Terrace,-74.01658354,40.7153379,216
261,W 11 St & 6 Ave,-73.99800419,40.73532427,159
262,W 13 St & 5 Ave,-73.99453948,40.73543934,163
263,W 13 St & 6 Ave,-73.99704374,40.73649403,210
264,W 13 St & 7 Ave,-73.99994661,40.73781509,171
265,W 14 St & The High Line,-74.00803013,40.74195138,77
266,W 15 St & 7 Ave,-73.99931783,40.73935542,190
267,W 16 St & The High Line,-74.00681753,40.74334935,152
268,W 17 St & 8 Ave,-74.00149746,40.74177603,262
269,W 18 St & 6 Ave,-73.99456405,40.73971301,277
270,W 20 St & 11 Ave,-74.007756,40.746745,422
271,W 20 St & 7 Ave,-73.99726235,40.74238787,192
272,W 20 St & 8 Ave,-74.00004031,40.74345335,164
273,W 21 St & 6 Ave,-73.99415556,40.74173969,368
274,W 22 St & 10 Ave,-74.00451887,40.74691959,258
275,W 22 St & 8 Ave,-73.99915362,40.74475148,198
276,W 24 St & 7 Ave,-73.99529885,40.74487634,257
277,W 25 St & 6 Ave,-73.99144871,40.74395411,231
278,W 26 St & 10 Ave,-74.002950346,40.749717753,242
279,W 26 St & 8 Ave,-73.99723551,40.74734825,154
280,W 27 St & 7 Ave,-73.993915,40.746647,229
281,W 29 St & 9 Ave,-73.99839279,40.7500727,129
282,W 31 St & 7 Ave,-73.9916,40.749156,178
283,W 33 St & 7 Ave,-73.99093085,40.75019995,196
284,W 34 St & 11 Ave,-74.0021163,40.75594159,61
285,W 37 St & 10 Ave,-73.9979009,40.75660359,169
286,W 37 St & 5 Ave,-73.98338988,40.75038009,134
287,W 38 St & 8 Ave,-73.99138152,40.75466591,176
288,W 39 St & 9 Ave,-73.99372222,40.75645824,246
289,W 4 St & 7 Ave S,-74.00293877,40.73401143,326
290,W 41 St & 8 Ave,-73.9900262,40.75640548,236
291,W 42 St & 8 Ave,-73.99098507,40.7575699,166
292,W 43 St & 10 Ave,-73.99461843,40.76009437,180
293,W 43 St & 6 Ave,-73.98316936,40.75527307,172
294,W 44 St & 5 Ave,-73.98014437,40.75500254,99
295,W 45 St & 6 Ave,-73.98291153,40.7568001,132
296,W 45 St & 8 Ave,-73.98859651,40.75929124,143
297,W 46 St & 11 Ave,-73.99667444,40.76341379,90
298,W 47 St & 10 Ave,-73.99301222,40.76269882,129
299,W 49 St & 5 Ave,-73.97787642,40.75795248,109
300,W 49 St & 8 Ave,-73.98788205,40.76227205,196
301,W 51 St & 6 Ave,-73.98042047,40.7606597,160
302,W 52 St & 11 Ave,-73.99392888,40.76727216,116
303,W 52 St & 5 Ave,-73.97648516,40.75992262,109
304,W 52 St & 9 Ave,-73.98789473,40.76461837,93
305,W 53 St & 10 Ave,-73.99061728,40.76669671,116
306,W 54 St & 9 Ave,-73.98690506,40.76584941,58
307,W 56 St & 10 Ave,-73.988639,40.768254,96
308,W 56 St & 6 Ave,-73.97722479,40.76340613,163
309,W 59 St & 10 Ave,-73.988038,40.770513,122
310,W Broadway & Spring St,-74.00154702,40.72490985,214
311,W Houston St & Hudson St,-74.00748842,40.72873888,246
312,Warren St & Church St,-74.00910627,40.71473993,123
313,Washington Ave & Greene Ave,-73.96563307,40.68650065,29
314,Washington Ave & Park Ave,-73.96751037,40.69610226,30
315,Washington Park,-73.97372989,40.69178232,28
316,Washington Pl & 6 Ave,-74.00026394,40.73224119,127
317,Washington Pl & Broadway,-73.99404649,40.72903917,177
318,Washington Square E,-73.9957214,40.73049393,220
319,Washington St & Gansevoort St,-74.008119,40.739323,148
320,Water - Whitehall Plaza,-74.0127234,40.70255065,64
321,Watts St & Greenwich St,-74.00965965,40.72405549,170
322,West St & Chambers St,-74.01322069,40.71754834,323
323,West Thames St,-74.01713445,40.70834698,167
324,William St & Pine St,-74.00887308,40.70717936,99
325,Willoughby Ave & Hall St,-73.96536851,40.69196035,27
326,Willoughby Ave & Walworth St,-73.95381995,40.69331716,27
327,Willoughby St & Fleet St,-73.9813018,40.69196566,40
328,Wythe Ave & Metropolitan Ave,-73.963198,40.716887,59
329,York St & Jay St,-73.98656928,40.7014851,82
