birth_year,trip_duration
1924.0,3.9833333333333334
1926.0,7.8
1929.0,28.266666666666666
1932.0,15.288333333333332
1933.0,8.579166666666667
1934.0,9.05
1935.0,14.167948717948718
1936.0,13.520833333333334
1937.0,15.202380952380953
1938.0,9.733333333333333
1939.0,10.726190476190476
1940.0,12.375
1941.0,13.79375
1942.0,13.524074074074074
1943.0,12.376262626262626
1944.0,13.215811965811964
1945.0,12.206547619047619
1946.0,12.453508771929824
1947.0,12.24010989010989
1948.0,11.915714285714285
1949.0,13.19751461988304
1950.0,12.516363636363637
1951.0,12.286968085106384
1952.0,12.16030701754386
1953.0,12.333820346320346
1954.0,11.741666666666667
1955.0,12.598546209761164
1956.0,11.6849376114082
1957.0,11.79089541008277
1958.0,12.11185275080906
1959.0,11.460266406757635
1960.0,12.186962833914054
1961.0,11.880332056194126
1962.0,12.230761316872428
1963.0,11.930149812734081
1964.0,11.687493579866462
1965.0,11.42009592326139
1966.0,11.770344970906068
1967.0,11.476269185360094
1968.0,11.914774990043808
1969.0,11.892046204620463
1970.0,11.234476367006488
1971.0,11.669649874955342
1972.0,11.495223780895124
1973.0,11.82007928300586
1974.0,11.584235020360675
1975.0,11.433726557773745
1976.0,11.4321468453378
1977.0,11.716402997502081
1978.0,11.513601823708207
1979.0,11.800386803185438
1980.0,11.485865649502013
1981.0,11.474009523809523
1982.0,11.847019675925926
1983.0,11.440154176424668
1984.0,11.663587061785783
1985.0,11.239945138100643
1986.0,11.572312966323857
1987.0,11.704421076436002
1988.0,11.429805690492714
1989.0,11.549480415667466
1990.0,11.367877094972068
1991.0,11.165158204562179
1992.0,10.077131782945736
1993.0,9.627311827956989
1994.0,9.556455399061033
1995.0,9.951234567901233
1996.0,11.956770833333334
1997.0,14.38525641025641
