,start_station_name,start_station_longitude,start_station_latitude,ride_start_date
108,E 2 St & Avenue B,-73.98368779,40.72217444,154
109,E 2 St & Avenue C,-73.98085795,40.7208736,88
110,E 20 St & 2 Ave,-73.98205027,40.73587678,184
111,E 20 St & FDR Drive,-73.97573881,40.73314259,136
112,E 20 St & Park Ave,-73.98751968,40.73827428,72
113,E 23 St & 1 Ave,-73.97809472,40.736502,175
114,E 25 St & 1 Ave,-73.97738662,40.7381765,112
115,E 25 St & 2 Ave,-73.97973776,40.73912601,209
116,E 27 St & 1 Ave,-73.976806,40.739445,75
117,E 3 St & 1 Ave,-73.98783413,40.72467721,138
118,E 30 St & Park Ave S,-73.98303529,40.74444921,164
119,E 31 St & 3 Ave,-73.97966069,40.74394314,245
120,E 32 St & Park Ave,-73.98194829,40.7457121,237
121,E 33 St & 1 Ave,-73.97434726,40.74315566,178
122,E 33 St & 5 Ave,-73.98490707,40.74765947,103
123,E 37 St & Lexington Ave,-73.978311,40.748238,112
124,E 39 St & 2 Ave,-73.9734419,40.74780373,259
125,E 39 St & 3 Ave,-73.97604882,40.7489006,172
126,E 4 St & 2 Ave,-73.98978041,40.7262807,202
127,E 40 St & 5 Ave,-73.9816324043,40.752062307,178
128,E 43 St & 2 Ave,-73.97121414,40.75022392,85
129,E 43 St & Vanderbilt Ave,-73.9779874,40.75320159,293
130,E 45 St & 3 Ave,-73.97282625,40.75255434,107
131,E 47 St & 1 Ave,-73.96784384,40.75206862,23
132,E 47 St & 2 Ave,-73.97032517,40.75323098,120
133,E 47 St & Park Ave,-73.97498696,40.75510267,130
134,E 48 St & 3 Ave,-73.971878855,40.7546011026,121
135,E 5 St & Avenue C,-73.97995466,40.72299208,76
136,E 51 St & 1 Ave,-73.96592976,40.75455731,78
137,E 51 St & Lexington Ave,-73.97207836,40.75714758,118
138,E 52 St & 2 Ave,-73.967416,40.756014,100
139,E 53 St & Lexington Ave,-73.97069431,40.75828065,132
140,E 53 St & Madison Ave,-73.97402311,40.7597108,122
141,E 55 St & 2 Ave,-73.96603308,40.75797322,97
142,E 55 St & Lexington Ave,-73.97031366,40.75968085,69
143,E 56 St & 3 Ave,-73.96759673,40.75934501,115
144,E 56 St & Madison Ave,-73.972924,40.761628,71
145,E 58 St & 3 Ave,-73.96724467,40.76095756,162
146,E 59 St & Sutton Pl,-73.95920622,40.75849116,90
147,E 6 St & Avenue B,-73.98185424,40.72453734,170
148,E 6 St & Avenue D,-73.97668709,40.72228087,48
149,E 7 St & Avenue A,-73.98379855,40.72621788,173
150,E 9 St & Avenue C,-73.97768752,40.72521311,134
151,Elizabeth St & Hester St,-73.996375,40.71729,150
152,Emerson Pl & Myrtle Ave,-73.96223558,40.69363137,30
153,FDR Drive & E 35 St,-73.97121214,40.744219,125
154,Flushing Ave & Carlton Ave,-73.97350332,40.69788349,20
155,Forsyth St & Broome St,-73.99266288,40.71893904,145
156,Forsyth St & Canal St,-73.99422366,40.7158155,89
157,Franklin Ave & Myrtle Ave,-73.958089,40.694528,3
158,Franklin St & W Broadway,-74.00666661,40.71911552,110
159,Front St & Gold St,-73.982578,40.70224,25
160,Front St & Maiden Ln,-74.00612572,40.70530954,91
161,Front St & Washington St,-73.98940236,40.70255088,71
162,Fulton St & Clermont Ave,-73.96922273,40.68415748,16
163,Fulton St & Grand Ave,-73.9614583,40.68223166,29
164,Fulton St & Rockwell Pl,-73.978474,40.687979,85
165,Fulton St & Waverly Ave,-73.9659641,40.68317813,47
166,Fulton St & William St,-74.00653609,40.70955958,92
167,Gallatin Pl & Livingston St,-73.98707105,40.69028437,22
168,Grand Army Plaza & Central Park S,-73.97371465,40.7643971,136
169,Grand St & Greene St,-74.00234737,40.72165481,76
170,Grand St & Havemeyer St,-73.95698119,40.71286844,55
171,Great Jones St,-73.99379025,40.72743423,150
172,Greenwich Ave & 8 Ave,-74.0026376103,40.7390169121,309
173,Greenwich Ave & Charles St,-74.000271,40.735238,108
174,Greenwich St & N Moore St,-74.01020609,40.72043411,168
175,Greenwich St & Warren St,-74.01121978,40.71542197,224
176,Hancock St & Bedford Ave,-73.95399026,40.68216564,15
177,Hanover Pl & Livingston St,-73.98263429,40.68864636,12
178,Harrison St & Hudson St,-74.0090009,40.71870987,76
179,Henry St & Atlantic Ave,-73.99612349,40.69089272,65
