,start_hour,ride_count,avg_trip_duration,avg_trip_duration_min
0,0,420,748.7166666666667,12.478611111111112
1,1,266,702.6578947368421,11.710964912280701
2,2,162,659.5617283950618,10.992695473251029
3,3,96,687.0208333333334,11.450347222222224
4,4,75,667.1066666666667,11.118444444444444
5,5,195,605.348717948718,10.089145299145299
6,6,889,648.6130483689539,10.810217472815898
7,7,1980,727.0383838383839,12.117306397306399
8,8,3127,756.5954589063,12.609924315105
9,9,2598,728.3460354118553,12.139100590197588
10,10,1827,745.6847290640394,12.42807881773399
11,11,1841,760.0651819663226,12.667753032772044
12,12,2353,732.0837229069273,12.201395381782122
13,13,2408,748.1968438538206,12.469947397563677
14,14,2401,788.499791753436,13.141663195890601
15,15,2436,784.3505747126437,13.072509578544063
16,16,3046,809.8834537097833,13.498057561829722
17,17,4398,822.3083219645293,13.705138699408822
18,18,4280,826.911214953271,13.781853582554517
19,19,2930,782.3105802047781,13.038509670079636
20,20,1932,776.4125258799172,12.940208764665288
21,21,1371,771.6105032822757,12.860175054704595
22,22,1159,742.7894736842105,12.379824561403508
23,23,803,730.1992528019925,12.169987546699875
